Latitude,Longitude,Elevation,Bearing,eggs,adults,mosq,code,BACT_OVI,BACT_OVI1,bact_ovi,bact_ovi1,bact_ad,bact_ad1
6.236845,-75.60598667,1578.2,147693,1,0,1,01B,1,0,1,0,NULL,NULL
6.235928333,-75.60712333,1582.8,176106,0,0,0,05B,0,0,NULL,NULL,NULL,NULL
6.235519057,-75.60839731,0,0,1,0,1,04B,1,0,1,0,NULL,NULL
6.234988333,-75.61150167,1608.8,335484,0,0,0,03B,0,0,NULL,NULL,NULL,NULL
6.234666667,-75.61475,1633.8,306905,1,1,1,02B,1,0,1,0,1,0
6.23282638,-75.61300769,0,0,0,0,0,06B,0,0,NULL,NULL,NULL,NULL
6.233146667,-75.61192333,1599.9,5825,0,0,0,07B,0,0,NULL,NULL,NULL,NULL
6.229711667,-75.61278667,0,0,1,0,1,09B,1,0,1,0,NULL,NULL
6.230111691,-75.61159853,0,0,1,0,1,10B,1,0,1,0,NULL,NULL
6.2312,-75.60900333,1580.1,349134,0,0,0,08B,0,0,NULL,NULL,NULL,NULL
6.23186,-75.605245,0,0,0,1,1,15B,0,0,NULL,NULL,0,1
6.23381,-75.60332,1558.7,283958,0,0,0,12B,0,0,NULL,NULL,NULL,NULL
6.236023333,-75.59899167,1544.9,10816,0,0,0,13B,0,0,NULL,NULL,NULL,NULL
6.235340746,-75.5981449,0,0,1,1,1,14B,1,0,1,0,1,0
6.237388333,-75.598615,1534,286198,1,1,1,11B,1,0,1,0,1,0
6.229431667,-75.591275,1524.8,209832,0,0,0,35B,0,0,NULL,NULL,NULL,NULL
6.229101667,-75.59663,1957.9,10825,0,0,0,20B,0,0,NULL,NULL,NULL,NULL
6.231345,-75.59997833,1550.7,72843,0,0,0,17B,0,0,NULL,NULL,NULL,NULL
6.231255562,-75.60115166,0,0,0,0,0,16B,0,0,NULL,NULL,NULL,NULL
6.226401667,-75.6025,1559.9,336215,1,0,1,23B,1,0,1,0,NULL,NULL
6.22449,-75.60328167,1589.6,8072,1,0,1,26B,1,0,1,0,NULL,NULL
6.223976667,-75.605145,1581.8,71628,0,0,0,25B,0,0,NULL,NULL,NULL,NULL
6.225938333,-75.60593333,1573.1,339797,0,0,0,22B,0,0,NULL,NULL,NULL,NULL
6.225175,-75.60685,1596.2,210059,1,0,0,21B,0,1,0,1,NULL,NULL
6.224101667,-75.60883833,1599.1,357649,0,0,0,24B,0,0,NULL,NULL,NULL,NULL
6.220721667,-75.60860833,1601.1,166889,0,0,0,28B,0,0,NULL,NULL,NULL,NULL
6.221535,-75.60583167,1596,232206,0,0,0,29B,0,0,NULL,NULL,NULL,NULL
