Latitude,Longitude,Elevation,Bearing,eggs,adults,mosq,code,BACT_OVI,BACT_OVI1,bact_ovi,bact_ovi1,bact_ad,bact_ad1
6.307743333,-75.55814167,1481.7,191.849,0,1,1,O1C,0,0,NULL,NULL,1,0
6.30581,-75.55939333,1505.9,221.524,0,0,0,O2C,0,0,NULL,NULL,NULL,NULL
6.304095,-75.55918,1505.1,39.753,1,1,1,O3C,1,0,1,0,1,0
6.300225,-75.55984167,1503.6,185.144,1,1,1,O4C,1,0,1,0,1,0
6.305893333,-75.563685,1562.1,213.21,1,1,1,O5C,1,0,1,0,0.75,0.25
6.306318333,-75.56624,1580.9,234.43,1,1,1,O6C,1,0,1,0,1,0
6.308845,-75.56574,1599,205.933,1,1,1,O7C,1,0,1,0,1,0
6.310186667,-75.56649167,1576,49.109,0,1,1,O8C,0,0,NULL,NULL,1,0
6.311151667,-75.56865,1636.7,234.704,1,1,1,O9C,1,0,1,0,1,0
6.309693333,-75.57066667,1655.4,189.66,1,1,1,O10C,1,0,1,0,1,0
6.305396667,-75.56991167,1640.3,42.506,0,0,0,O11C,0,0,NULL,NULL,NULL,NULL
6.304126667,-75.56888167,1613.8,167.837,1,1,1,O12C,1,0,1,0,1,0
6.302921667,-75.56543167,1579.2,126.907,1,0,1,O13C,1,0,1,0,0,1
6.298923333,-75.57024667,1611.7,329.437,1,0,1,O14C,1,0,1,0,0,1
6.295828333,-75.57119167,1596.4,64.028,1,1,1,O15C,1,0,1,0,0.75,0.25
6.296853333,-75.56948333,1584.5,166.853,1,1,1,O16C,1,0,1,0,1,0
6.29908,-75.56763167,1593.8,185.688,1,1,1,O17C,1,0,1,0,1,0
6.296621667,-75.56600667,1564.3,357.369,1,1,1,O18C,1,0,1,0,0.5,0.5
6.293443333,-75.56587667,1547.3,285.324,1,0,1,O19C,1,0,1,0,NULL,NULL
6.290338333,-75.56610667,1507.1,261.192,1,1,1,O20C,1,0,1,0,1,0
6.291841667,-75.56547333,1507,281.82,0,0,0,O21C,0,0,NULL,NULL,NULL,NULL
6.290628333,-75.57019,1554.4,260.378,1,1,1,O22C,1,0,1,0,1,0
6.309251667,-75.56271333,1560.8,83.586,1,1,1,O23C,1,0,1,0,1,0
6.28536,-75.57788,1579.6,32.26,1,1,1,O24C,1,0,1,0,1,0
6.283931667,-75.575745,1542.1,351.374,1,0,1,O25C,1,0,1,0,NULL,NULL
6.282761667,-75.57339,1532.3,291.245,1,0,1,O26C,1,0,1,0,NULL,NULL
6.285686667,-75.5734,1532.6,280.568,1,1,1,O27C,1,0,1,0,1,0
6.287628333,-75.57172,1548.2,294.947,1,0,1,O28C,1,0,1,0,NULL,NULL
6.288345,-75.57152167,1546.1,30.985,1,0,1,O29C,1,0,1,0,1,0
6.289011667,-75.57402833,1563.3,198.636,0,1,1,O30C,0,0,NULL,NULL,1,0
6.29259,-75.57313333,1591,226.637,1,1,1,O31C,1,0,1,0,0.75,0.25
6.292571667,-75.57086,1563.5,181.361,1,1,1,O32C,1,0,1,0,1,0
62.70555,-75.57729833,15426,321169,0,0,0,O1C-3,0,0,NULL,NULL,NULL,NULL
6.272658333,-75.57462333,15013,316388,0,0,0,O2C-3,0,0,NULL,NULL,NULL,NULL
6.274816667,-75.57330833,15061,7772,1,1,1,O4C-3,1,0,1,0,1,0
6.274081667,-75.57321667,15116,177237,1,0,1,O3C-3,1,0,1,0,NULL,NULL
