Latitude,Longitude,Elevation,Bearing,eggs,adults,mosq,bact
6.293576667,-75.59333833,1882.2,29.353,0,0,0,NA
6.29357,-75.59330833,1864.2,118106,0,0,0,NA
6.292596667,-75.59544,1887.2,35.172,1,1,1,0
6.291396667,-75.593425,1830.1,71.186,0,0,0,NA
6.29169,-75.59083333,1809.2,31.66,0,1,1,0
6.290955,-75.58856,1765.6,80.001,0,0,0,NA
6.287225,-75.58705167,1723.9,58732,1,1,1,1
6.288425,-75.589855,1740.5,34.169,0,1,1,1
6.288148333,-75.592725,1800.2,25.809,1,0,1,NA
6.288216667,-75.59274333,1808.6,198371,1,1,1,0
6.287928333,-75.59544667,1821.5,49.339,0,0,0,NA
6.284593333,-75.59384167,1746.7,50.168,0,0,0,1
6.284541667,-75.59086,1696.6,68.415,0,0,0,NA
6.284398333,-75.59016833,1701.6,223343,0,0,0,NA
6.284461667,-75.58747833,1670.8,63.675,0,1,1,1
6.28571,-75.58498,165.8,56.486,0,0,0,NA
6.283718333,-75.580745,1613.3,70.25,1,0,1,1
6.282025,-75.589675,1678.3,354104,1,0,1,1
6.281653333,-75.59207833,1678.1,140.533,0,0,0,NA
6.281695,-75.59206667,1677.6,187933,0,0,0,NA
6.28082,-75.59532833,1683.8,3.603,1,0,1,1
6.280921667,-75.59893167,1701.6,313.707,1,0,1,1
6.283836667,-75.600475,1758.3,353.08,0,1,1,1
6.278241667,-75.605075,1692.4,136.903,1,0,1,1
6.279566667,-75.60076333,1683.5,55.644,0,0,0,NA
6.27787,-75.59871167,1651.2,200.562,1,0,1,1
6.278733333,-75.59457,1640.9,154.186,1,1,1,1
6.278341667,-75.59087,1634.4,217.627,1,1,1,1
6.278323333,-75.59093667,1644.8,174953,1,0,1,NA
6.279486667,-75.58741667,1621.9,68.153,0,0,0,NA
6.276046667,-75.58817167,1576.5,278.581,0,0,0,NA
6.274618333,-75.59473,1586.7,7.47,1,0,1,1
6.276355,-75.59698333,1630.8,102.821,0,0,0,NA
6.274046667,-75.59654667,1584.1,319.72,0,0,0,NA
6.284016667,-75.60913333,1862.2,188.809,0,0,0,NA
6.285063333,-75.60302833,1813.6,172.346,0,0,0,NA
6.281511667,-75.60342,1758.5,179.344,0,0,0,NA
6.281261667,-75.60343833,1763.2,284368,0,0,0,NA
6.281886667,-75.60511667,1787.8,159.314,0,0,0,NA
6.281506667,-75.60922,1797.8,165.834,0,0,0,NA
6.277875,-75.60656333,1676.9,182451,0,1,1,NA
6.276628333,-75.61707,1772.7,171.828,0,0,0,NA
6.27713,-75.61603833,1756.3,244.257,1,1,1,0
6.275958333,-75.61925167,1775.5,188.966,1,1,1,0
6.272691667,-75.61452833,1746.2,261.241,0,0,0,NA
6.272678333,-75.61445333,1749.7,92866,0,0,0,NA
6.272146667,-75.61754667,1740.7,38.047,1,1,1,0
6.273893333,-75.61141,174.8,296.85,0,1,1,1
6.274681667,-75.60871667,1716.4,165.594,0,0,0,NA
6.276115,-75.61324667,1693.8,313.895,1,1,1,1
6.273645,-75.58138167,15118,226358,0,1,1,1
6.272813333,-75.58991,15490,308046,1,1,1,1
6.270068333,-75.58713833,15423,55235,1,0,1,1
6.268008333,-75.58702833,15332,292887,0,0,0,NA
6.262503333,-75.58441667,15181,314529,0,0,0,NA
6.261598333,-75.58332667,15073,133705,1,1,1,1
6.259736667,-75.579285,14934,108602,0,0,0,NA
6.259765,-75.57896833,15094,292521,0,0,0,NA
6.275341667,-75.58402667,15635,336087,0,0,0,NA
6.27514,-75.58384,16061,66694,0,0,0,NA
6.27578,-75.58084167,15485,246887,0,0,0,NA
6.27614,-75.58081,15657,158152,0,0,0,NA
6.279201667,-75.58162167,15721,17338,0,0,0,NA
6.282168333,-75.58020167,15921,296859,0,0,0,NA
6.282131667,-75.58009167,15775,115445,0,0,0,NA
6.282798333,-75.581495,16017,29456,0,0,0,NA
6.282843333,-75.58144833,16193,66072,0,0,0,NA
6.281221667,-75.57718833,15761,2878,1,0,1,1
6.279446667,-75.57675167,15378,3532,1,1,1,1
6.27729,-75.57743833,15298,318129,0,0,0,NA
6.27721,-75.57756667,15225,306035,0,0,0,NA
6.277605,-75.57663667,15477,1494,0,0,0,NA
6.278045,-75.57675667,15242,307566,0,0,0,NA
