Latitude,Longitude,Elevation,Bearing,eggs,adults,mosq,code,bact_ovi,bact_ad
6.29695,-75.550675,1625.1,350.622,1,1,1,o1sc,1,0.66
6.295183333,-75.55220167,1617.3,97.082,1,0,1,O2SC,1,NA
6.291851667,-75.553575,1615.7,195.472,1,1,1,O3SC,1,1
6.29057,-75.55676833,1554.1,92.277,1,1,1,O8SC,1,1
6.293101667,-75.555195,1550.9,88.547,1,1,1,O4SC,1,1
6.294988333,-75.55602333,1525.4,299.179,0,0,0,O7SC,NA,NA
6.297095,-75.55468833,1542.1,63.787,1,1,1,O5SC,1,1
6.300671667,-75.55137,1582.6,113.588,0,1,1,O12SC,NA,0.33
6.300676667,-75.55252,1555.8,131.136,1,1,1,O13SC,1,1
6.299833333,-75.55572667,1499.3,199.564,1,1,1,O17SC,1,1
6.297218333,-75.55721667,1498,300.409,1,1,1,O6SC,1,1
6.294621667,-75.56004,1462.1,284.07,1,1,1,O10SC,1,1
6.291973333,-75.56188667,1481.9,167.17,1,1,1,O9SC,1,0.66
6.303223333,-75.54954667,1613.9,216.311,1,1,1,O11SC,1,1
6.303911667,-75.55149,1573.1,355.943,1,1,1,O14SC,1,1
6.306268333,-75.552395,1521.9,198.026,1,1,1,O15SC,1,1
6.304625,-75.55444,1502.9,227.409,1,1,1,O16SC,1,0.66
