Latitude,Longitude,BACT_OVI,BACT_OVI1,bact_ad,bact_ad1
6.236845,-75.60598667,1,0,0,0
6.235928333,-75.60712333,0,0,0,0
6.235519057,-75.60839731,1,0,0,0
6.234988333,-75.61150167,0,0,0,0
6.234666667,-75.61475,1,0,100,0
6.23282638,-75.61300769,0,0,0,0
6.233146667,-75.61192333,0,0,0,0
6.229711667,-75.61278667,1,0,0,0
6.230111691,-75.61159853,1,0,0,0
6.2312,-75.60900333,0,0,0,0
6.23186,-75.605245,0,0,0,100
6.23381,-75.60332,0,0,0,0
6.236023333,-75.59899167,0,0,0,0
6.235340746,-75.5981449,1,0,100,0
6.237388333,-75.598615,1,0,100,0
6.229431667,-75.591275,0,0,0,0
6.229101667,-75.59663,0,0,0,0
6.231345,-75.59997833,0,0,0,0
6.231255562,-75.60115166,0,0,0,0
6.226401667,-75.6025,1,0,0,0
6.22449,-75.60328167,1,0,0,0
6.223976667,-75.605145,0,0,0,0
6.225938333,-75.60593333,0,0,0,0
6.225175,-75.60685,0,1,0,0
6.224101667,-75.60883833,0,0,0,0
6.220721667,-75.60860833,0,0,0,0
6.221535,-75.60583167,0,0,0,0
6.220928333,-75.60369833,0,0,50,50
6.222726667,-75.59936167,1,0,0,0
6.225533333,-75.599695,0,0,0,0
6.224576667,-75.597215,1,0,0,0
6.225578333,-75.59713,0,0,0,0
6.224781667,-75.59415333,1,0,100,0
6.225373333,-75.59386833,0,0,0,0
6.23805,-75.58894333,0,0,0,0
6.237453333,-75.590855,0,0,0,0
6.236866667,-75.59468333,0,0,100,0
6.235355411,-75.59404548,1,0,0,0
6.232901667,-75.59506667,0,0,0,0
6.232361667,-75.59266,0,0,0,0
6.232438425,-75.58996048,0,0,0,0
6.23507,-75.58995833,1,0,0,0
6.234663333,-75.58730667,1,0,0,0
6.234180553,-75.58411058,1,0,0,0
6.233358333,-75.58381333,0,0,0,0
6.233841667,-75.581655,0,0,0,0
6.23781,-75.58333667,0,0,0,0
6.239245,-75.58315,0,0,0,0
6.238561343,-75.57933491,0,0,0,0
6.220313333,-75.594075,1,0,100,0
6.219715,-75.59822667,0,0,0,0
6.219855,-75.59856833,0,0,0,0
6.215683333,-75.60230333,0,0,0,0
6.215916667,-75.60360833,0,0,0,0
6.214186667,-75.60227,0,0,0,0
6.213858333,-75.600765,0,0,0,0
6.211188333,-75.60298667,0,0,0,0
6.211805,-75.60133833,1,0,0,0
6.218093333,-75.593445,0,0,0,0
6.211036667,-75.59898333,1,0,50,50
6.207128333,-75.60110167,1,0,100,0
6.206851667,-75.60081,1,0,75,25
6.205396667,-75.60281667,0,1,0,100
6.205561667,-75.60462833,0,0,0,0
6.202626667,-75.59992333,1,0,0,0
6.243698333,-75.55647833,0,0,0,0
6.241913333,-75.55695,1,0,75,25
6.239476667,-75.55791,1,0,100,0
6.238956667,-75.55661833,0,0,0,0
6.235648333,-75.55735,0,0,0,0
6.235905,-75.55843,0,0,0,0
6.23545,-75.56289833,1,0,100,0
6.237205,-75.56136333,1,0,0,0
6.240823333,-75.55923167,0,0,0,0
6.228581667,-75.530625,0,0,0,0
6.228781667,-75.53288167,0,1,0,100
6.229721667,-75.53627667,0,0,0,0
6.230855,-75.53749167,0,0,0,0
6.231526667,-75.53937,0,0,0,0
6.226611667,-75.54357167,0,0,100,0
6.227181667,-75.54413333,1,0,0,0
6.227828333,-75.540995,0,0,0,0
6.235105,-75.54336833,0,0,0,0
6.232461667,-75.54359833,0,0,0,0
6.228905,-75.54373,0,0,0,0
6.228951667,-75.54372833,1,0,100,0
6.234828333,-75.54579333,0,0,0,0
6.237125,-75.54599333,0,0,0,0
6.23967,-75.54995167,0,0,0,0
6.241156667,-75.55007167,0,0,0,0
6.24231,-75.55409833,1,0,100,0
6.239786667,-75.5523,0,0,0,0
6.234803333,-75.54874,0,0,0,0
6.233546667,-75.54968,0,0,0,0
6.227486667,-75.54827667,1,0,0,0
6.22935,-75.55232,0,0,0,0
6.235026667,-75.55323667,0,0,0,0
6.232743333,-75.55369333,0,0,0,0
6.23214,-75.55903833,0,0,0,0
6.23247,-75.56091167,0,0,0,0
6.229836667,-75.56096833,0,0,0,0
6.307743333,-75.55814167,0,0,100,0
6.30581,-75.55939333,0,0,0,0
6.304095,-75.55918,1,0,100,0
6.300225,-75.55984167,1,0,100,0
6.305893333,-75.563685,1,0,75,25
6.306318333,-75.56624,1,0,100,0
6.308845,-75.56574,1,0,100,0
6.310186667,-75.56649167,0,0,100,0
6.311151667,-75.56865,1,0,100,0
6.309693333,-75.57066667,1,0,100,0
6.305396667,-75.56991167,0,0,0,0
6.304126667,-75.56888167,1,0,100,0
6.302921667,-75.56543167,1,0,0,100
6.298923333,-75.57024667,1,0,0,100
6.295828333,-75.57119167,1,0,75,25
6.296853333,-75.56948333,1,0,100,0
6.29908,-75.56763167,1,0,100,0
6.296621667,-75.56600667,1,0,50,50
6.293443333,-75.56587667,1,0,0,0
6.290338333,-75.56610667,1,0,100,0
6.291841667,-75.56547333,0,0,0,0
6.290628333,-75.57019,1,0,100,0
6.309251667,-75.56271333,1,0,100,0
6.28536,-75.57788,1,0,100,0
6.283931667,-75.575745,1,0,0,0
6.282761667,-75.57339,1,0,0,0
6.285686667,-75.5734,1,0,100,0
6.287628333,-75.57172,1,0,0,0
6.288345,-75.57152167,1,0,100,0
6.289011667,-75.57402833,0,0,100,0
6.29259,-75.57313333,1,0,75,25
6.292571667,-75.57086,1,0,100,0
62.70555,-75.57729833,0,0,0,0
6.272658333,-75.57462333,0,0,0,0
6.274816667,-75.57330833,1,0,100,0
6.274081667,-75.57321667,1,0,0,0
6.293576667,-75.59333833,0,0,0,0
6.292596667,-75.59544,0,1,0,100
6.291396667,-75.593425,0,0,0,0
6.29169,-75.59083333,0,0,0,100
6.290955,-75.58856,0,0,0,0
6.287225,-75.58705167,1,0,100,0
6.288425,-75.589855,0,0,100,0
6.288216667,-75.59274333,0,1,0,100
6.287928333,-75.59544667,0,0,0,0
6.284593333,-75.59384167,1,0,0,0
6.284541667,-75.59086,0,0,0,0
6.284461667,-75.58747833,0,0,0,100
6.28571,-75.58498,0,0,0,0
6.283718333,-75.580745,1,0,0,0
6.282025,-75.589675,1,0,0,0
6.281653333,-75.59207833,0,0,0,0
6.28082,-75.59532833,1,0,0,0
6.280921667,-75.59893167,1,0,0,0
6.283836667,-75.600475,0,0,0,100
6.278241667,-75.605075,1,0,0,0
6.279566667,-75.60076333,0,0,0,0
6.27787,-75.59871167,1,0,100,0
6.278733333,-75.59457,1,0,100,0
6.278341667,-75.59087,1,0,100,0
6.279486667,-75.58741667,0,0,0,0
6.276046667,-75.58817167,0,0,0,0
6.274618333,-75.59473,1,0,0,0
6.276355,-75.59698333,0,0,0,0
6.274046667,-75.59654667,0,0,0,0
6.284016667,-75.60913333,0,0,0,0
6.285063333,-75.60302833,0,0,0,0
6.281511667,-75.60342,0,0,0,0
6.281886667,-75.60511667,0,0,0,0
6.281506667,-75.60922,0,0,0,0
6.277875,-75.60656333,0,0,100,0
6.276628333,-75.61707,0,0,0,0
6.27713,-75.61603833,0,1,0,0
6.275958333,-75.61925167,0,1,66,34
6.272691667,-75.61452833,0,0,0,100
6.272146667,-75.61754667,0,1,0,100
6.273893333,-75.61141,0,0,100,0
6.274681667,-75.60871667,0,0,0,0
6.276115,-75.61324667,1,0,0,100
6.273645,-75.58138167,0,0,100,0
6.272813333,-75.58991,1,0,100,0
6.270068333,-75.58713833,1,0,0,100
6.268008333,-75.58702833,0,0,0,0
6.262503333,-75.58441667,0,0,0,0
6.261598333,-75.58332667,1,0,100,0
6.259736667,-75.579285,0,0,0,0
6.275341667,-75.58402667,0,0,0,0
6.27578,-75.58084167,0,0,0,0
6.279201667,-75.58162167,0,0,0,0
6.282168333,-75.58020167,0,0,0,0
6.282843333,-75.58144833,0,0,0,0
6.281221667,-75.57718833,1,0,0,0
6.279446667,-75.57675167,1,0,100,0
6.27729,-75.57743833,0,0,0,0
6.277605,-75.57663667,0,0,0,0
6.29695,-75.550675,1,0,66,34
6.295183333,-75.55220167,1,0,0,0
6.291851667,-75.553575,1,0,100,0
6.29057,-75.55676833,1,0,100,0
6.293101667,-75.555195,1,0,100,0
6.294988333,-75.55602333,0,0,0,0
6.297095,-75.55468833,1,0,100,0
6.300671667,-75.55137,0,0,33,67
6.300676667,-75.55252,1,0,100,0
6.299833333,-75.55572667,1,0,100,0
6.297218333,-75.55721667,1,0,100,0
6.294621667,-75.56004,1,0,100,0
6.291973333,-75.56188667,1,0,66,34
6.303223333,-75.54954667,1,0,100,0
6.303911667,-75.55149,1,0,100,0
6.306268333,-75.552395,1,0,100,0
6.304625,-75.55444,1,0,66,34
